Category,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Scripture_Reference,Explanation
Church History,beginner,In what year was Jesus born (approximately)?,4-6 BC,1 AD,0 AD,10 BC,4-6 BC,Matthew 2:1; Luke 2:1-7,"Jesus was born during Herod the Great's reign, who died in 4 BC, placing Jesus' birth around 6-4 BC."
Church History,beginner,What event in AD 70 affected the Jewish people?,Destruction of the temple,Babylonian exile,Persian conquest,Roman persecution,Destruction of the temple,Matthew 24:2; Luke 21:6,"The Romans destroyed the Jerusalem temple in AD 70, fulfilling Jesus' prophecy."
Church History,beginner,Who was the Roman emperor during Jesus' ministry?,Tiberius Caesar,Augustus Caesar,Nero,Constantine,Tiberius Caesar,Luke 3:1,"In the fifteenth year of the reign of Tiberius Caesar, John the Baptist began his ministry."
Church History,beginner,What was the first major council of the church?,Council of Jerusalem,Council of Nicaea,Council of Chalcedon,Council of Ephesus,Council of Jerusalem,Acts 15:1-29,"The apostles and elders met in Jerusalem around AD 50 to discuss Gentile believers and the law."
Church History,beginner,Who was the first Christian martyr?,Stephen,Peter,Paul,James,Stephen,Acts 7:59-60,"Stephen was stoned to death, becoming the first recorded Christian martyr."
Church History,intermediate,What year was the Council of Nicaea held?,AD 325,AD 431,AD 381,AD 451,AD 325,Historical record,"The First Council of Nicaea was convened by Constantine to address the Arian controversy."
Church History,intermediate,What did the Council of Nicaea primarily address?,The deity of Christ,The canon of Scripture,Church leadership,Baptism practices,The deity of Christ,Nicene Creed,"The council condemned Arianism and affirmed that Christ is of the same substance (homoousios) as the Father."
Church History,intermediate,Which Roman emperor legalized Christianity?,Constantine,Theodosius,Diocletian,Julian,Constantine,Edict of Milan AD 313,"Constantine issued the Edict of Milan in 313, granting religious freedom to Christians."
Church History,intermediate,What movement did Martin Luther start?,Protestant Reformation,Great Awakening,Catholic Counter-Reformation,Monastic movement,Protestant Reformation,95 Theses - 1517,"Luther's posting of the 95 Theses in 1517 sparked the Protestant Reformation."
Church History,intermediate,Who translated the Bible into English in the 1380s?,John Wycliffe,William Tyndale,King James,Jerome,John Wycliffe,Historical record,"John Wycliffe produced the first complete English Bible translation from the Vulgate."
Church History,intermediate,What was the Great Schism of 1054?,Split between East and West church,Protestant Reformation,Catholic divisions,Papal controversy,Split between East and West church,Historical record,"The church split into Roman Catholic (West) and Eastern Orthodox (East) in 1054."
Church History,intermediate,Who wrote 'Institutes of the Christian Religion'?,John Calvin,Martin Luther,John Knox,Ulrich Zwingli,John Calvin,Published 1536,"Calvin's systematic theology became foundational for Reformed theology."
Church History,intermediate,What was the main issue in the Arian controversy?,Whether Jesus was fully divine,Trinity doctrine,Canon of Scripture,Church authority,Whether Jesus was fully divine,Historical record,"Arius taught that Jesus was a created being, not co-eternal with the Father."
Church History,expert,What year was the Council of Chalcedon?,AD 451,AD 325,AD 381,AD 431,AD 451,Historical record,"The Council of Chalcedon in 451 defined the two natures of Christ against monophysitism."
Church History,expert,Who were the Donatists?,Those who believed fallen clergy invalid,Early monastics,Gnostic sect,Jewish Christians,Those who believed fallen clergy invalid,Historical record,"Donatists believed that sacraments performed by clergy who had denied Christ during persecution were invalid."
Church History,expert,What did the Council of Trent address?,Protestant Reformation challenges,Muslim expansion,Iconoclasm,Papal succession,Protestant Reformation challenges,1545-1563,"The Catholic Church's response to the Protestant Reformation, clarifying Catholic doctrine."
Church History,expert,Who was Athanasius?,Defender of Nicene orthodoxy,Early bishop,Translator,Reformer,Defender of Nicene orthodoxy,Historical record,"Athanasius of Alexandria championed Trinitarian theology against Arianism in the 4th century."
Church History,expert,What was the Edict of Worms (1521)?,Condemned Martin Luther,Legalized Christianity,Established state church,Created church council,Condemned Martin Luther,Historical record,"The Diet of Worms declared Luther a heretic and outlaw for refusing to recant his writings."
Church History,scholar,What theological controversy did the Cappadocian Fathers resolve?,Trinity formulation,Christology,Canon,Church polity,Trinity formulation,Historical record,"Basil of Caesarea, Gregory of Nyssa, and Gregory of Nazianzus developed Trinitarian theology distinguishing between ousia and hypostasis."
Church History,scholar,What was Semi-Pelagianism?,Belief that grace and will cooperate,Partial depravity,Limited atonement,Conditional election,Belief that grace and will cooperate,Historical record,"The teaching that humans can initiate faith and God responds with grace, condemned at Orange (529)."
